Designator,Mid X,Mid Y,Layer,Rotation
"C1","145.4565mm","-80.2207mm","Top",270
"C2","140.5337mm","-80.2207mm","Top",270
"C3","143.0314mm","-80.2498mm","Top",270
"C4","147.6121mm","-80.2207mm","Top",90
"C5","131.7295mm","-80.2498mm","Top",270
"C6","133.2795mm","-80.2498mm","Top",270
"C7","108.0497mm","-66.8648mm","Top",0
"D1","136.9148mm","-80.166mm","Top",0
"FLASH","165.8266mm","-55.2384mm","Top",60
"IC1","144.8052mm","-76.4126mm","Top",180
"J2","156.0968mm","-66.1321mm","Top",60
"L1","141.7794mm","-76.404mm","Top",90
"LED1","156.3855mm","-74.3784mm","Top",60
"LED2","155.4566mm","-75.984mm","Top",60
"LED3","154.4798mm","-77.5895mm","Top",60
"LED4","128.243mm","-52.9872mm","Top",0
"LED5","127.4243mm","-54.5369mm","Top",0
"R1","150.3793mm","-80.2707mm","Top",90
"R2","151.8686mm","-63.451mm","Top",60
"R3","150.3864mm","-80.2998mm","Top",90
"R4","153.6564mm","-75.7304mm","Top",20
"R5","152.559mm","-77.3225mm","Top",20
"R6","154.7223mm","-74.1055mm","Top",20
"R7","113.2277mm","-67.5239mm","Top",0
"R8","136.0898mm","-56.7159mm","Top",0
"R9","127.0275mm","-56.2797mm","Top",0
"R10","115.3733mm","-75.9311mm","Top",0
"RST","162.8381mm","-60.4325mm","Top",60
"U1","152.3779mm","-46.1016mm","Top",30
"U2","123.7301mm","-63.6646mm","Top",0
