Designator,Mid X,Mid Y,Layer,Rotation
"C1","16.4143mm","-13.7192mm","Top",0
"C2","16.4143mm","-16.7192mm","Top",0
"C3","16.4143mm","-15.0692mm","Top",0
"C4","24.1643mm","-33.7192mm","Top",180
"C5","29.0143mm","-36.7192mm","Top",270
"C6","30.5643mm","-36.7192mm","Top",270
"D1","30.5143mm","-40.5192mm","Top",270
"IC1","26.6143mm","-37.2192mm","Top",180
"J2","44.3529mm","-21.2292mm","Top",90
"L1","23.3643mm","-37.2192mm","Top",90
"LED1","29.8643mm","-26.0192mm","Top",0
"LED2","29.8643mm","-28.1692mm","Top",0
"LED3","29.8643mm","-30.3192mm","Top",0
"R1","24.3643mm","-41.7192mm","Top",90
"R2","28.5643mm","-41.7192mm","Top",90
"R3","25.7643mm","-41.7192mm","Top",90
"R4","24.8643mm","-28.1692mm","Top",0
"R5","24.8643mm","-30.3192mm","Top",0
"R6","24.8643mm","-26.0192mm","Top",0
"SW1","37.8643mm","-45.7192mm","Top",270
"SW2","16.8643mm","-45.7192mm","Top",270
"U1","27.6643mm","-21.4392mm","Bottom",0
