Designator,Mid X,Mid Y,Layer,Rotation
"BZ1","115.5088mm","-55.6516mm","Top",0
"C1","145.4565mm","-80.2207mm","Top",270
"C2","140.5337mm","-80.2207mm","Top",270
"C3","143.0314mm","-80.2498mm","Top",270
"C4","147.6121mm","-80.2207mm","Top",90
"C5","131.7295mm","-80.2498mm","Top",270
"C6","133.2795mm","-80.2498mm","Top",270
"C7","80.1257mm","-49.5052mm","Top",315
"C8","129.0839mm","-81.0248mm","Top",0
"C9","67.7716mm","-27.5649mm","Top",0
"C10","80.1014mm","-27.5649mm","Top",0
"C11","77.0955mm","-27.5649mm","Top",0
"C12","70.7358mm","-27.5649mm","Top",0
"C13","63.1016mm","-30.4397mm","Top",0
"C14","93.1618mm","-78.676mm","Top",270
"C15","93.4545mm","-75.7493mm","Top",270
"C16","101.1881mm","-79.14mm","Top",0
"C17","103.2426mm","-80.6089mm","Top",0
"C18","108.685mm","-77.2007mm","Top",0
"C19","29.7971mm","-35.2472mm","Top",90
"C20","31.3471mm","-33.1225mm","Top",0
"C21","33.7564mm","-39.453mm","Top",0
"C22","29.7971mm","-38.3022mm","Top",270
"D1","136.9148mm","-80.166mm","Top",0
"FLASH","165.8266mm","-55.2384mm","Top",60
"IC1","144.8052mm","-76.4126mm","Top",180
"J1","102.7127mm","-53.7118mm","Top",0
"J2","156.0968mm","-66.1321mm","Top",60
"L1","141.7794mm","-76.404mm","Top",90
"LED1","156.3855mm","-74.3784mm","Top",60
"LED2","155.4566mm","-75.984mm","Top",60
"LED3","154.4798mm","-77.5895mm","Top",60
"LED4","152.6387mm","-80.8266mm","Top",60
"LED5","153.5767mm","-79.1716mm","Top",60
"LED6","34.6095mm","-78.9989mm","Top",90
"R1","150.3793mm","-80.2707mm","Top",90
"R2","151.8686mm","-63.451mm","Top",60
"R3","150.3864mm","-80.2998mm","Top",90
"R4","153.6564mm","-75.7304mm","Top",20
"R5","152.559mm","-77.3225mm","Top",20
"R6","154.7223mm","-74.1055mm","Top",20
"R7","129.0339mm","-77.205mm","Top",0
"R8","148.6152mm","-65.9408mm","Top",0
"R9","148.6906mm","-73.9994mm","Top",0
"R10","128.9913mm","-78.8239mm","Top",0
"R11","61.2301mm","-27.5649mm","Top",0
"R12","64.5543mm","-27.5649mm","Top",0
"R13","73.8988mm","-27.5649mm","Top",0
"R14","78.5014mm","-29.8841mm","Top",0
"R15","95.7817mm","-78.4781mm","Top",270
"RST","162.8381mm","-60.4325mm","Top",60
"U1","152.3779mm","-46.1016mm","Top",30
"U2","147.6121mm","-70.4219mm","Top",0
"U3","71.5173mm","-35.8718mm","Top",45
"U4","32.9908mm","-69.6324mm","Top",290
"U5","100.5133mm","-75.7493mm","Top",270
"U6","35.3036mm","-36.5222mm","Top",0
"Y1","40.3661mm","-33.4488mm","Top",0
"Y2","81.8556mm","-40.6354mm","Top",0
"Y3","94.9638mm","-62.2362mm","Top",0
